N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,REGISTRANT NAME,STREET,CITY,STATE,ZIP,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,EXPIRATION DATE
52872,A476-55                       ,2080083,30010,2002,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,9716 LAKEVIEW DR                 ,DAYTONA BEACH     ,FL,96499     ,S,162,US,20140902,20040610,1N        ,4,1 ,V ,50107351, ,20160904,20281130
5288J,17268493                      ,1751426,52040,1981,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,092,US,20081203,19840402,1T        ,5,5 ,V ,50001166, ,20040320,20290315
528KJ,F9334-45                      ,1310425,41514,2007,SKYWEST AIRLINES INC                              ,8427 MERIDIAN PKWY               ,SALT LAKE CITY    ,UT,27892     ,5,199,US,20140618,20070306,1N        ,5,2 ,V ,50056643, ,20100626,20300524
528RG,L7499-24                      ,1310519,30062,1968,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,146,US,20021130,19710710,1N        ,5,1 ,V ,50107077, ,19800726,20260221
52918,G1661-69                      ,2520156,17027,2009,CAMPBELL DONALD R                                 ,                                 ,NEW YORK          ,NY,87607     ,1,023,US,20220401,20091202,1N        ,4,1 ,V ,50030152, ,20120424,20300726
52949,28-1980154                    ,2630450,30062,2020,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,041,US,20240128,20210622,1A        ,4,1 ,V ,50013373, ,20230825,20290221
52988,3096                          ,1860243,30010,1966,TORRES SUSAN A                                    ,5335 AIRPORT RD                  ,OAKLAND           ,CA,73904     ,7,155,US,20220306,19680503,1N        ,4,1 ,V ,50077202, ,19751228,20270405
529PX,28-2013513                    ,2630594,17041,2011,ROBERTS STEVEN L                                  ,8280 AVIATION WAY                ,MEMPHIS           ,TN,81810     ,S,104,US,20140829,20130326,1U        ,5,1 ,V ,50013541, ,20211231,20290512
52KR ,2718                          ,1860187,30062,2013,CAMPBELL DONALD R                                 ,3259 MAPLE AVE                   ,NEW YORK          ,NY,87607     ,1,082,US,20170423,20130821,1U        ,4,1 ,V ,50101764, ,20241118,20310912
5305T,17267653                      ,1750310,30010,1973,CAMPBELL DONALD R                                 ,3259 MAPLE AVE                   ,NEW YORK          ,NY,87607     ,1,029,US,19990225,19750728,1A        ,4,1 ,V ,50023037, ,20160704,20290218
530GH,28-2014565                    ,2631051,41538,2014,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,159,US,20230404,20140627,1N        ,5,2 ,V ,50016365, ,20221018,20300410
53105,D7724-82                      ,1310519,17041,1993,MILLER DANIEL M                                   ,7542 MERIDIAN PKWY               ,SAN DIEGO         ,CA,30052     ,7,159,US,20080207,19931106,1U        ,5,1 ,V ,50016637, ,20231218,20280810
5310V,G9666-40                      ,2300068,41545,2019,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,163,US,20230610,20220319,1N        ,5,5 ,V ,50020527, ,20240319,20291129
5331T,M171-89                       ,1310018,41514,2011,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,055,US,20210216,20131228,1T        ,5,2 ,V ,50102300, ,20190710,20291117
53376,6766                          ,1200010,52001,2016,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,085,US,20220821,20181025,1T        ,5,5 ,V ,50063714, ,20230806,20290310
533AU,J1677-16                      ,1310632,17041,1991,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,035,US,20090905,19930320,1N        ,5,1 ,V ,50115651, ,20050416,20260112
53408,64360                         ,1531128,52001,2009,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,192,US,20181214,20101129,1T        ,5,5 ,V ,50052275, ,20141228,20260405
5342T,47668                         ,1530618,41060,2017,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,187,US,20211008,20200422,1T        ,5,5 ,V ,50032545, ,20201023,20281016
534DD,G1880-97                      ,1640222,00410,1991,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,030,US,20170123,19930119,1T        ,5,5 ,V ,50066455, ,20070301,20290628
534GZ,28-1978100                    ,2630655,17041,1991,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,055,US,20090606,19910820,1A        ,5,1 ,V ,50050553, ,20140728,20270329
534YM,28-1984517                    ,2630450,17003,1974,MITCHELL JOHN R                                   ,6634 MERIDIAN PKWY               ,INDIANAPOLIS      ,IN,31632     ,3,129,US,20200102,19740727,1A        ,4,1 ,V ,50107413, ,19940709,20281209
53512,28-2000885                    ,2630345,17027,    ,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,164,US,20201109,20200808,1N        ,4,1 ,V ,50004557, ,20250201,20310422
5356X,17214139                      ,1750198,30010,1972,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,170,US,19821125,19730819,1A        ,4,1 ,V ,50104673, ,19911213,20300510
53633,17225871                      ,1750663,41538,2003,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,033,US,20141110,20061007,1T        ,5,2 ,V ,50070177, ,20150824,20290704
5367E,L7553-41                      ,2520156,17027,2015,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,053,US,20190411,20170713,1N        ,4,1 ,V ,50071112, ,20241212,20280810
5369C,H1489-95                      ,2410031,17003,1993,HARRIS NANCY L                                    ,7459 MAIN ST                     ,DALLAS-FORT WORTH ,TX,54236     ,2,187,US,19940107,19930802,1N        ,4,1 ,V ,50024372, ,20190329,20310916
536JA,K8615-13                      ,1310364,30010,1990,WILLIAMS ROBERT K                                 ,2078 CESSNA BLVD                 ,SANTA ANA         ,CA,74340     ,7,083,US,20150508,19931002,1N        ,4,1 ,V ,50055751, ,20241122,20310809
536WD,B9878-54                      ,1970220,17003,1986,MILLER MARY L                                     ,8127 COUNTY ROAD 12              ,LINCOLN           ,NE,96846     ,C,051,US,20250104,19890303,1A        ,4,1 ,V ,50077726, ,20180808,20260525
53753,10339                         ,2740182,60012,2015,US DEPT OF INTERIOR                               ,2592 TAXIWAY DR                  ,BOISE             ,ID,14852     ,5,158,US,20200221,20170401,1N        ,6,3 ,V ,50072046, ,20181113,20261003
537BT,28-1978939                    ,2630594,30062,2013,MILLER DANIEL M                                   ,                                 ,SAN DIEGO         ,CA,30052     ,7,023,US,20250115,20130102,1N        ,5,1 ,V ,50033123, ,20200311,20300121
537MX,28-2009299                    ,2630655,30062,    ,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,147,US,19820318,19720716,1N        ,5,1 ,V ,50102111, ,19820422,20290608
5386A,D3619-67                      ,1640017,52040,1985,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,096,US,20061219,19881027,1N        ,5,5 ,V ,50055310, ,20160527,20281123
5388W,17264675                      ,1750529,17003,2004,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,124,US,20150127,20070620,1A        ,4,1 ,V ,50012250, ,20170417,20270424
538BD,F6327-53                      ,2080083,17027,1985,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,                                 ,DAYTONA BEACH     ,FL,96499     ,S,058,US,20130614,19860116,1U        ,4,1 ,V ,50116711, ,20190418,20300226
538TX,M2163-57                      ,1310748,17027,2013,HILL MARK H                                       ,7810 CESSNA BLVD                 ,SACRAMENTO        ,CA,74332     ,7,058,US,20210602,20140706,1U        ,4,1 ,V ,50112553, ,20240314,20280314
53925,28-1982742                    ,2630154,17003,2019,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,005,US,20211206,20211013,1N        ,4,1 ,V ,50113613, ,20230707,20291212
539AZ,L6007-80                      ,1420164,60012,1997,HIGH PLAINS CROP DUSTING INC                      ,815 MAIN ST                      ,BILLINGS          ,MT,71993     ,5,189,US,20161114,19981020,1N        ,6,3 ,V ,50044247, ,20180910,20290220
539GR,E5389-46                      ,1310632,30062,    ,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,002,US,20010321,19950421,1N        ,5,1 ,V ,50002752, ,20151012,20270619
53CY ,M3892-30                      ,1310018,41538,    ,TEXTRON AVIATION INC                              ,                                 ,WICHITA           ,KS,82340     ,C,041,US,19970926,19930401,1T        ,5,2 ,V ,50055246, ,20050730,20270420
53GQ ,17253051                      ,1751024,17041,1966,EDWARDS MICHAEL T                                 ,9441 HANGAR LN                   ,KANSAS CITY       ,MO,60328     ,C,190,US,20141001,19660605,1N        ,5,1 ,V ,50013015, ,20100417,20270702
53NL ,28-1993236                    ,2631051,41514,2000,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,089,US,20220801,20030426,1T        ,5,2 ,V ,50061174, ,20140629,20310413
54068,28-2024948                    ,2630956,30062,1988,MARTINEZ MICHAEL B                                ,5049 LAKEVIEW DR                 ,CHARLESTON        ,WV,84607     ,1,131,US,20120716,19880721,1N        ,5,1 ,V ,50020066, ,20241008,20280605
540TN,7205                          ,1860047,30062,1988,ADAMS DAVID H                                     ,2451 PROSPECT AVE                ,SAVANNAH          ,GA,44816     ,S,031,US,20020324,19900814,1U        ,4,1 ,V ,50037764, ,19910119,20300822
540TX,17276177                      ,1751024,30062,2019,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,105,US,20200420,20190422,1N        ,5,1 ,V ,50062130, ,        ,20270308
5418G,17254025                      ,1750310,30062,1976,NELSON JAMES A                                    ,9707 LAKEVIEW DR                 ,NEW YORK          ,NY,96900     ,1,106,US,19970107,19760531,1A        ,4,1 ,V ,50010316, ,20021122,20260512
54298,17264998                      ,1751024,17041,2001,CLARK GEORGE W                                    ,3929 COUNTY ROAD 12              ,FORT MYERS        ,FL,67654     ,S,162,US,20120223,20020322,1N        ,5,1 ,V ,50104442, ,20180615,20291014
542EP,1032                          ,1200602,67000,1997,SOUTHWEST AIRLINES CO                             ,6907 SKYWAY CT                   ,DALLAS            ,TX,73242     ,2,090,US,20180606,19990803,1T        ,5,5 ,V ,50071763, ,20210102,20301208
542NS,G4900-26                      ,2520026,30010,2001,HILL MICHAEL H                                    ,7570 MAPLE AVE                   ,BALTIMORE         ,MD,94896     ,1,187,US,20041103,20040913,1N        ,4,1 ,V ,50057662, ,20130312,20310523
542RV,17273358                      ,1751181,17041,1975,HARRIS NANCY L                                    ,7459 MAIN ST                     ,DALLAS-FORT WORTH ,TX,54236     ,2,015,US,19900408,19761112,1N        ,5,1 ,V ,50054165, ,20080708,20260424
54369,F7963-85                      ,1310193,41538,2020,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,181,US,20221127,20211114,1N        ,4,2 ,V ,50070241, ,20240411,20300217
5439R,9486                          ,2740065,60515,1972,STATE OF ALASKA                                   ,6346 AVIATION WAY                ,ANCHORAGE         ,AK,96991     ,A,046,US,20130823,19720930,1N        ,6,3 ,V ,50052233, ,20161128,20260116
54480,28-1979391                    ,2630655,17041,2006,ADAMS CAROL L                                     ,7444 COUNTY ROAD 12              ,JACKSON           ,MS,50189     ,S,162,US,20130828,20081009,1N        ,5,1 ,V ,50104567, ,20110509,20300323
5449N,L8157-45                      ,1310193,41538,1974,EMBRY RIDDLE AERONAUTICAL UNIVERSITY INC          ,9716 LAKEVIEW DR                 ,DAYTONA BEACH     ,FL,96499     ,S,119,US,19900113,19740519,1N        ,4,2 ,V ,50035117, ,19750806,20280825
5449Y,37918                         ,1530714,67000,1977,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,015,US,19801020,19780409,1T        ,5,5 ,V ,50114464, ,20210417,20280112
5454K,L8815-44                      ,1310364,17003,2002,ADAMS CAROL L                                     ,7444 COUNTY ROAD 12              ,JACKSON           ,MS,50189     ,S,183,US,20081113,20020117,1N        ,4,1 ,V ,50006112, ,20240211,20280210
545CU,28-1978557                    ,2630450,30010,2009,EDWARDS CAROL D                                   ,3467 COUNTY ROAD 12              ,DENVER            ,CO,96563     ,5,042,US,20181116,20120903,1U        ,4,1 ,V ,50075711, ,20171202,20301015
545JL,K7524-15                      ,1310519,30062,1973,PHILLIPS LINDA D                                  ,2194 INDUSTRIAL DR               ,MIAMI             ,FL,70901     ,S,102,US,19920313,19740515,1U        ,5,1 ,V ,50010254, ,        ,20260803
545NN,11709                         ,2740182,60515,1967,GULF COAST AERIAL SURVEY INC                      ,3926 SKYWAY CT                   ,FORT MYERS        ,FL,63841     ,S,199,US,19870806,19681221,1N        ,6,3 ,V ,50062465, ,19800730,20311221
54614,30729                         ,1531430,41060,1970,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,178,US,20061019,19730717,1T        ,5,5 ,V ,50037113, ,20191124,20261215
5466M,M4663-47                      ,2190700,67000,2007,DELTA AIR LINES INC                               ,2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,089,US,20140311,20080201,1T        ,5,5 ,V ,50043166, ,20201202,20260821
54680,28-1990412                    ,2631051,41538,1970,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,096,US,20020513,19710523,1N        ,5,2 ,V ,50054543, ,20150107,20261119
5475J,17212956                      ,1751426,41545,2015,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,073,US,20150905,20150713,1N        ,5,5 ,V ,50025160, ,        ,20310519
547WM,28-2012812                    ,2630956,30062,2009,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,066,US,20110411,20100601,1U        ,5,1 ,V ,50076435, ,20180721,20260616
5480S,17266456                      ,1750663,41514,2008,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,046,US,20171212,20080111,1N        ,5,2 ,V ,50060512, ,20150630,20281224
5485A,28-1996329                    ,2630345,17027,    ,MILLER DANIEL M                                   ,                                 ,SAN DIEGO         ,CA,30052     ,7,190,US,20090807,19840824,1U        ,4,1 ,V ,50023374, ,20120209,20281001
5485E,12864                         ,2740182,60515,1980,BLUE RIDGE HELICOPTERS LLC                        ,5372 SKYWAY CT                   ,SAVANNAH          ,GA,34727     ,S,111,US,19971223,19811111,1N        ,6,3 ,V ,50006721, ,20080811,20270314
548DF,A9305-35                      ,1420003,60012,2000,GULF COAST AERIAL SURVEY INC                      ,3926 SKYWAY CT                   ,FORT MYERS        ,FL,63841     ,S,011,US,20080628,20020831,1N        ,6,3 ,V ,50105417, ,20211005,20270609
548SE,17250724                      ,1750933,17027,1989,MERIDIAN AIR CHARTER LLC                          ,                                 ,TETERBORO         ,NJ,87356     ,1,163,US,20100719,19920323,1A        ,4,1 ,V ,50070324, ,20170728,20300624
54967,17251317                      ,1750529,30010,1983,JONES KENNETH K                                   ,                                 ,EL PASO           ,TX,51904     ,2,141,US,20130630,19860701,1N        ,4,1 ,V ,50014350, ,20171027,20300119
549PG,17269225                      ,1751426,41545,2012,GULF COAST AERIAL SURVEY INC                      ,3926 SKYWAY CT                   ,FORT MYERS        ,FL,63841     ,S,029,US,20220610,20141107,1N        ,5,5 ,V ,50115462, ,20191001,20271220
549QZ,17225247                      ,1750767,41538,2006,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,138,US,20180419,20091213,1N        ,4,2 ,V ,50050511, ,20180705,20310812
54BW ,B3502-42                      ,1310241,30062,1984,BAKER WILLIAM F                                   ,7151 CESSNA BLVD                 ,PROVIDENCE        ,RI,74451     ,1,144,US,19880207,19841220,1A        ,5,1 ,V ,50070031, ,20060312,20281019
54GS ,L6967-12                      ,2080083,17027,1978,CLARK STEVEN A                                    ,3140 MAPLE AVE                   ,OMAHA             ,NE,41635     ,C,102,US,20090217,19810918,1N        ,4,1 ,V ,50037512, ,20190922,20270608
54GU ,4835                          ,1860047,30062,1980,TAYLOR ROBERT J                                   ,1879 SKYWAY CT                   ,MINNEAPOLIS       ,MN,18564     ,3,152,US,20070324,19820112,1A        ,4,1 ,V ,50122240, ,20181228,20290604
54KE ,L8972-91                      ,1420164,60515,1985,BLUE RIDGE HELICOPTERS LLC                        ,5372 SKYWAY CT                   ,SAVANNAH          ,GA,34727     ,S,128,US,20170525,19870917,1N        ,6,3 ,V ,50072740, ,20010305,20271219
55172,17230129                      ,1750865,30010,1988,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,126,US,19931117,19900218,1N        ,4,1 ,V ,50103633, ,19910820,20260217
551TC,28-2007829                    ,2630450,30010,1970,HARRIS LINDA D                                    ,3165 MAIN ST                     ,TETERBORO         ,NJ,25670     ,1,073,US,20010310,19731215,1N        ,4,1 ,V ,50052150, ,20120921,20260714
5529Y,G6835-29                      ,2850143,30062,1981,WALKER EDWARD S                                   ,9326 LAKEVIEW DR                 ,HOUSTON           ,TX,17894     ,2,017,US,19860112,19820923,1A        ,4,1 ,V ,50042525, ,20060615,20270605
552UJ,23710                         ,1530981,52001,1996,DELTA AIR LINES INC                               ,2622 TAXIWAY DR                  ,ATLANTA           ,GA,48254     ,S,078,US,20240513,19980905,1T        ,5,5 ,V ,50043417, ,20010212,20281218
552WJ,17272793                      ,1751181,17041,1982,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,015,US,20160517,19840313,1N        ,5,1 ,V ,50001544, ,20121024,20280407
553XX,F1186-65                      ,2190084,67000,2019,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,105,US,20221011,20200807,1T        ,5,5 ,V ,50040635, ,        ,20270430
5559W,E8102-49                      ,2300228,00410,2008,PINNACLE ENERGY PARTNERS LLC                      ,9003 AVIATION WAY                ,HOUSTON           ,TX,69682     ,2,129,US,20240813,20090915,1N        ,5,5 ,V ,50077643, ,20190525,20280911
555VS,F2332-84                      ,1640378,52040,1986,HIGH PLAINS CROP DUSTING INC                      ,815 MAIN ST                      ,BILLINGS          ,MT,71993     ,5,088,US,20100617,19881027,1N        ,5,5 ,V ,50110075, ,20180917,20310915
556TC,4333                          ,1200586,52001,2001,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,052,US,20110828,20041108,1T        ,5,5 ,V ,50010653, ,20180407,20300830
5575M,C4119-86                      ,1420003,17050,2019,BLUE RIDGE HELICOPTERS LLC                        ,5372 SKYWAY CT                   ,SAVANNAH          ,GA,34727     ,S,129,US,20231229,20220914,1N        ,6,1 ,V ,50067054, ,20250317,20290817
5581T,L5662-85                      ,1310519,30062,2000,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,179,US,20030219,20021109,1N        ,5,1 ,V ,50031275, ,20220122,20300129
55851,17250662                      ,1750933,30010,2000,WALKER EDWARD S                                   ,9326 LAKEVIEW DR                 ,HOUSTON           ,TX,17894     ,2,001,US,20160524,20000301,1A        ,4,1 ,V ,50000631, ,20231011,20270613
558GK,6052                          ,1860047,30062,2008,HILL MARK H                                       ,7810 CESSNA BLVD                 ,SACRAMENTO        ,CA,74332     ,7,179,US,20240220,20100704,1A        ,4,1 ,V ,50036431, ,        ,20271028
55914,32248                         ,1531089,67000,2004,UNITED AIRLINES INC                               ,8437 MERIDIAN PKWY               ,CHICAGO           ,IL,45838     ,3,151,US,20090301,20050614,1T        ,5,5 ,V ,50070617, ,20150331,20300424
5596Q,4658                          ,1860243,30062,2015,LEWIS PAUL D                                      ,4992 MERIDIAN PKWY               ,MILWAUKEE         ,WI,62757     ,3,002,US,20220422,20170212,1N        ,4,1 ,V ,50044332, ,20171226,20290815
559NL,60168                         ,1530804,41060,2004,SOUTHWEST AIRLINES CO                             ,6907 SKYWAY CT                   ,DALLAS            ,TX,73242     ,2,025,US,20241016,20060418,1T        ,5,5 ,V ,50026324, ,20160106,20291122
559NS,62721                         ,1530301,41060,1982,ATLAS AIR INC                                     ,4477 SKYWAY CT                   ,NEW YORK          ,NY,10336     ,1,086,US,20210329,19850911,1T        ,5,5 ,V ,50105103, ,20220116,20270908
559WG,E7983-20                      ,1970419,30062,1994,LEWIS PAUL D                                      ,4992 MERIDIAN PKWY               ,MILWAUKEE         ,WI,62757     ,3,049,US,20001228,19970405,1U        ,4,1 ,V ,50014140, ,20181118,20300620
55VP ,17245986                      ,1751181,17041,2022,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,173,US,20230911,20220516,1N        ,5,1 ,V ,50001124, ,20241029,20260823
560RA,17253499                      ,1751213,00410,1982,MERIDIAN AIR CHARTER LLC                          ,2168 RIDGE RD                    ,TETERBORO         ,NJ,87356     ,1,001,US,19910523,19831002,1N        ,5,5 ,V ,50006574, ,19840729,20280517
5617K,E2644-11                      ,1420372,60012,1975,NORTHERN LIGHTS HELI SERVICES INC                 ,4012 LAKEVIEW DR                 ,ANCHORAGE         ,AK,60196     ,A,096,US,20041202,19771227,1N        ,6,3 ,V ,50055163, ,        ,20271018
56184,D9101-78                      ,1420253,60515,2007,GULF COAST AERIAL SURVEY INC                      ,3926 SKYWAY CT                   ,FORT MYERS        ,FL,63841     ,S,035,US,20130602,20090922,1N        ,6,3 ,V ,50102656, ,20170612,20291107
561KJ,8786                          ,1200959,67000,2016,SKYWEST AIRLINES INC                              ,8427 MERIDIAN PKWY               ,SALT LAKE CITY    ,UT,27892     ,5,119,US,20230403,20160218,1T        ,5,5 ,V ,50107455, ,20221021,20281030
561YJ,17246083                      ,1750767,41538,2017,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,001,US,20210820,20180501,1T        ,4,2 ,V ,50022145, ,20200208,20260527
5625V,M2957-36                      ,1310018,41538,1999,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,160,US,20051222,20001128,1T        ,5,2 ,V ,50104211, ,20130209,20260416
562AW,17217017                      ,1750198,17027,2002,MITCHELL JOHN R                                   ,6634 MERIDIAN PKWY               ,INDIANAPOLIS      ,IN,31632     ,3,164,US,20111223,20020602,1N        ,4,1 ,V ,50116165, ,20190508,20271104
562CA,17278303                      ,1751373,41545,2012,GULF COAST AERIAL SURVEY INC                      ,3926 SKYWAY CT                   ,FORT MYERS        ,FL,63841     ,S,071,US,20230101,20131223,1T        ,5,5 ,V ,50061677, ,        ,20260704
562GV,17272478                      ,1750434,30062,1978,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,097,US,19890928,19780804,1N        ,4,1 ,V ,50122030,Y,19891011,20300916
562KF,A4856-86                      ,2300359,52040,1994,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,049,US,20080416,19940925,1T        ,5,5 ,V ,50025432, ,20240124,20301014
5631K,11313                         ,2740182,60012,1974,US DEPT OF INTERIOR                               ,2592 TAXIWAY DR                  ,BOISE             ,ID,14852     ,5,055,US,19960404,19740913,1N        ,6,3 ,V ,50004137, ,20010703,20310528
5638E,A5450-87                      ,2190108,41060,    ,AMERICAN AIRLINES INC                             ,7836 HANGAR LN                   ,DALLAS-FORT WORTH ,TX,69871     ,2,051,US,20061022,19970428,1T        ,5,5 ,V ,50020213, ,20040120,20291004
56485,K1887-98                      ,2190453,41060,1998,SOUTHWEST AIRLINES CO                             ,6907 SKYWAY CT                   ,DALLAS            ,TX,73242     ,2,188,US,20221015,20000130,1T        ,5,5 ,V ,50056516, ,20020705,20260507
5648P,28-2009926                    ,2631051,41538,2006,REPUBLIC AIRWAYS INC                              ,1243 COUNTY ROAD 12              ,INDIANAPOLIS      ,IN,64387     ,3,155,US,20090905,20070915,1T        ,5,2 ,V ,50010212, ,20210128,20270604
564HA,6449                          ,1860047,17027,2015,JONES GEORGE L                                    ,6892 SKYWAY CT                   ,ALBANY            ,NY,74251     ,1,168,US,20190128,20151228,1N        ,4,1 ,V ,50067012, ,20170303,20300120
5651A,J4650-70                      ,1420164,60012,1993,US DEPT OF INTERIOR                               ,2592 TAXIWAY DR                  ,BOISE             ,ID,14852     ,5,173,US,19981117,19940425,1N        ,6,3 ,V ,50046012, ,20140809,20270930
5656N,3259                          ,1860243,17027,1970,BANK OF UTAH TRUSTEE                              ,8122 SKYWAY CT                   ,SALT LAKE CITY    ,UT,29476     ,5,093,US,20190804,19711003,1A        ,4,1 ,V ,50036473, ,20020723,20310917
565BP,17210301                      ,1750201,30010,1976,MOORE MICHAEL S                                   ,5431 RIDGE RD                    ,LINCOLN           ,NE,71069     ,C,098,US,19940518,19771023,1N        ,4,1 ,V ,50045120, ,19781127,20301019
565GU,E7105-98                      ,2080125,30010,1975,PINNACLE ENERGY PARTNERS LLC                      ,9003 AVIATION WAY                ,HOUSTON           ,TX,69682     ,2,116,US,20190719,19781120,1U        ,4,1 ,V ,50055477, ,20000927,20290123
565LA,28-1986522                    ,2630594,30062,1998,ROBERTS STEVEN L                                  ,8280 AVIATION WAY                ,MEMPHIS           ,TN,81810     ,S,023,US,20070924,20000221,1N        ,5,1 ,V ,50110453, ,20220605,20291122
565QE,8161                          ,1860243,30010,1999,ATP FLIGHT SCHOOL LLC                             ,4734 MERIDIAN PKWY               ,JACKSONVILLE      ,FL,49132     ,S,119,US,20240615,20010514,1N        ,4,1 ,V ,50010401, ,20100828,20280128
56659,17212149                      ,1751426,00410,2010,AMERIFLIGHT LLC                                   ,5668 PROSPECT AVE                ,BURBANK           ,CA,76550     ,7,062,US,20150911,20120629,1N        ,5,5 ,V ,50070345, ,20201212,20290901
5675X,D1372-88                      ,2520156,30010,1974,MITCHELL NANCY H                                  ,100 PROSPECT AVE                 ,CHARLOTTE         ,NC,23970     ,S,031,US,19931209,19740816,1N        ,4,1 ,V ,50025116, ,19881206,20260102
567AZ,28-1974519                    ,2630769,30062,1975,WELLS FARGO TRUST CO NA TRUSTEE                   ,7416 RIDGE RD                    ,CHARLESTON        ,WV,73483     ,1,111,US,19841227,19781107,1A        ,4,1 ,V ,50000001,Y,20121210,20261103
